0	44400	62300	20340
1	44400	62700	20341
2	44400	63100	20342
3	44400	63500	20343
4	44300	64400	20344
5	44300	64800	20345
6	44300	65200	20346
7	44300	65600	20347
8	43000	60700	9001
9	40300	58600	9002
10	38300	69300	9003
11	31500	56000	9005
12	41700	67100	9006
13	39300	69200	20016
14	71100	23400	9009
15	73200	39000	9009
16	77200	47200	9009
17	76300	80900	9009
18	77300	90500	9009
19	42800	48000	9009
20	38600	84900	9009
21	81900	31500	9009
22	39600	73500	20349
23	34000	74700	20008
24	45400	53000	20023
25	34300	56000	20002
26	37800	57700	20003
27	41300	53900	60003
28	29200	71800	20005
29	33600	77000	20006
30	42500	71600	20011
31	46500	61200	20018
32	29200	81200	20001
33	13700	12600	10005
34	12500	111800	20009
35	43200	68500	9012
36	38300	64000	11004
37	36700	61700	11005
38	32200	73400	20421
39	32300	61700	20041
40	28600	63900	20355
41	46800	71400	20354
42	77100	7800	20358
43	11400	96000	20357
44	28500	28500	20084
45	47100	57600	20095
46	44700	92800	20086
47	45600	93600	20087
48	37100	70300	20429
49	30800	81200	20503
50	31300	81200	20504
51	31600	55400	30308
