0	62300	59400	20320
1	62700	59400	20321
2	63100	59500	20322
3	63500	59500	20323
4	64500	59500	20324
5	64900	59500	20325
6	65300	59500	20326
7	65700	59500	20327
8	67600	66200	9001
9	67600	61700	9002
10	59000	68900	9003
11	60900	59600	9005
12	58800	63300	9006
13	59400	69200	20016
14	67500	53900	9009
15	74200	87900	9009
16	20600	55200	9009
17	21800	67900	9009
18	22100	86500	9009
19	23100	97600	9009
20	23400	107700	9009
21	54900	61000	20349
22	58100	62000	20008
23	69200	57700	20023
24	55400	59700	20002
25	55300	66300	20003
26	68100	71700	60003
27	70200	68600	20005
28	71700	63300	20006
29	65500	55300	20011
30	67400	59000	20018
31	66000	73400	20001
32	87600	112700	10003
33	90800	8700	20009
34	51900	51200	9012
35	63300	64000	11002
36	62300	61700	11003
37	65800	68300	20421
38	65900	77200	20041
39	77200	68200	20355
40	57100	55800	20354
41	25000	110400	20358
42	61400	116700	20357
43	89800	79700	20084
44	61800	56200	20095
45	86400	82300	20086
46	85400	82700	20087
47	62000	58000	20429
48	70100	65400	20503
49	69200	65300	20504
50	61300	59300	30308
