0	7200	11400	10075
1	14500	31500	10701
2	8000	30800	10702
3	20600	10900	10703
4	32000	23800	10704
5	42100	27200	10705
6	48700	27900	10706
7	7000	36800	10707
8	6500	43400	10708
9	6700	49800	10709
10	35000	36100	10710
11	21000	49500	10711
12	52600	35200	10712
13	52800	41500	10713
14	52300	48000	10714
15	10100	54700	10715
16	8200	74600	10716
17	54100	4000	10717
18	61500	4400	10718
19	55300	29100	10719
20	62600	29600	10720
21	27800	70500	10721
22	28000	56900	10722
23	47000	56000	10723
24	57900	39000	10724
25	59700	33100	10725
26	60100	56000	10726
