0	59200	33100	20352
1	7200	11900	10068
2	14500	31500	10501
3	8000	30800	10502
4	20600	10900	10503
5	32000	23800	10504
6	42100	27200	10505
7	48700	27900	10506
8	7000	36800	10507
9	6500	43400	10508
10	6700	49800	10509
11	35000	36100	10510
12	21000	49500	10511
13	52600	35200	10512
14	52800	41500	10513
15	52300	48000	10514
16	10100	54700	10515
17	8200	74600	10516
18	54100	4000	10517
19	61500	4400	10518
20	55300	29100	10519
21	62600	29600	10520
22	27800	70500	10521
23	28000	56900	10522
24	47000	56000	10523
25	57900	39000	10524
