0	46000	46700	9001
1	43500	46700	9002
2	48400	38700	9003
3	39400	39000	9005
4	43300	37600	9006
5	49100	39900	20016
6	52700	37300	20349
7	51500	32200	20015
8	53700	42000	20010
9	45100	33000	20020
10	37000	47500	20022
11	49300	33500	20012
12	41100	33300	20014
13	38400	45400	20017
14	36600	38900	20019
15	40300	48200	20021
16	37200	36200	20024
17	90100	15100	10006
18	91400	90700	10024
19	13600	89900	20009
20	53500	4100	10071
21	48000	35500	9012
22	44200	41200	11004
23	42000	41600	11005
24	16700	22400	20042
25	53500	89200	20364
26	39400	40000	30308
