0	62200	55600	20300
1	62500	55500	20301
2	62900	55400	20302
3	63300	55300	20303
4	64400	55100	20304
5	64700	55000	20305
6	65100	54900	20306
7	65400	54800	20307
8	59600	55700	9001
9	59600	60500	9002
10	67800	56500	9003
11	67400	60700	9005
12	63300	62200	9006
13	67200	55600	20016
14	35400	32700	9009
15	32500	40500	9009
16	25100	87400	9009
17	19500	93700	9009
18	30400	118600	9009
19	52500	114700	9009
20	59100	116600	9009
21	68000	37900	9009
22	82100	29700	9009
23	73100	65900	9009
24	62300	63000	20008
25	62900	47100	20023
26	71800	57700	20349
27	68700	47500	20002
28	69800	51300	20003
29	73200	48000	60003
30	59700	51100	20005
31	58200	57800	20006
32	71300	60500	20011
33	69500	65700	20018
34	62200	51100	20001
35	40500	7300	10001
36	7600	60100	20009
37	55500	62500	9012
38	64700	58200	11000
39	65700	61900	11001
40	55500	53300	20421
41	65300	50800	20041
42	57300	53100	20355
43	60500	66300	20354
44	6000	111800	20358
45	58200	34700	20357
46	89600	61000	20084
47	65500	64600	20095
48	54500	39700	20086
49	54500	41200	20087
50	66500	63400	20429
51	65200	47500	20503
52	65900	47500	20504
53	68100	60200	30308
