0	45000	60800	9001
1	47100	60800	9002
2	42200	60800	9003
3	43000	57400	9005
4	48700	66600	9006
5	42300	61800	20016
6	10000	15000	20009
7	54800	58800	20349
8	58200	56100	20015
9	51600	57900	20010
10	54100	62000	20020
11	41900	56300	20022
12	54900	56200	20012
13	47500	68400	20014
14	41500	63800	20017
15	56400	60300	20019
16	40800	58100	20021
17	58300	58500	20024
18	94800	80400	10002
19	14500	82300	10020
20	100200	56500	10067
21	50000	57500	9012
22	45800	63100	11000
23	47800	63300	11001
24	18000	60000	20042
25	48100	29800	20364
26	43500	58100	30308
