0	10200	74800	20360
1	40500	70200	20361
2	7200	11400	10073
3	14500	31500	10601
4	8000	30800	10602
5	20600	10900	10603
6	32000	23800	10604
7	42100	27200	10605
8	48700	27900	10606
9	7000	36800	10607
10	6500	43400	10608
11	6700	49800	10609
12	35000	36100	10610
13	21000	49500	10611
14	52600	35200	10612
15	52800	41500	10613
16	52300	48000	10614
17	10100	54700	10615
18	8200	74600	10616
19	54100	4000	10617
20	61500	4400	10618
21	55300	29100	10619
22	62600	29600	10620
23	27800	70500	10621
24	28000	56900	10622
25	47000	56000	10623
26	57900	39000	10624
27	59700	33100	10625
28	60100	56000	10626
